Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-2415M,692,51.4,518,https://cpu.userbenchmark.com/SpeedTest/4223/IntelR-CoreTM-i5-2415M-CPU---230GHz
CPU,,Intel,Pentium G2020,693,51.4,11673,https://cpu.userbenchmark.com/SpeedTest/3604/IntelR-PentiumR-CPU-G2020---290GHz
CPU,,Intel,Core i7-2677M,694,51.4,567,https://cpu.userbenchmark.com/SpeedTest/4939/IntelR-CoreTM-i7-2677M-CPU---180GHz
CPU,BX80646G1840,Intel,Celeron G1840,695,51.4,5560,https://cpu.userbenchmark.com/Intel-Celeron-G1840/Rating/2849
CPU,,Intel,Core i3-3110M,696,51.4,28520,https://cpu.userbenchmark.com/SpeedTest/844/IntelR-CoreTM-i3-3110M-CPU---240GHz
CPU,,AMD,A8-3850 APU,697,51.3,2519,https://cpu.userbenchmark.com/SpeedTest/4311/AMD-A8-3850-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Pentium G2010,698,51.3,2263,https://cpu.userbenchmark.com/SpeedTest/8691/IntelR-PentiumR-CPU-G2010---280GHz
CPU,,Intel,Core i7-4550U,699,51.2,256,https://cpu.userbenchmark.com/SpeedTest/6199/IntelR-CoreTM-i7-4550U-CPU---150GHz
CPU,,Intel,Celeron G1620,700,51.2,2216,https://cpu.userbenchmark.com/SpeedTest/6930/IntelR-CeleronR-CPU-G1620---270GHz
CPU,,Intel,Xeon E5430,701,51.1,1952,https://cpu.userbenchmark.com/SpeedTest/16038/IntelR-XeonR-CPU-----------E5430----266GHz
CPU,AD5500OKHJBOX,AMD,A8-5500 APU,702,51.1,7733,https://cpu.userbenchmark.com/SpeedTest/3432/AMD-A8-5500-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Quad Q9505,703,51.1,1809,https://cpu.userbenchmark.com/SpeedTest/3041/IntelR-CoreTM2-Quad-CPU----Q9505----283GHz
CPU,,AMD,Phenom II X3 720,704,51.1,2311,https://cpu.userbenchmark.com/SpeedTest/326/AMD-Phenomtm-II-X3-720-Processor
CPU,BX80646G1820,Intel,Celeron G1820,705,51,2962,https://cpu.userbenchmark.com/Intel-Celeron-G1820/Rating/1992
CPU,,Intel,Core i5-3337U,706,51,27073,https://cpu.userbenchmark.com/SpeedTest/737/IntelR-CoreTM-i5-3337U-CPU---180GHz
CPU,,Intel,Xeon E7- 4870,707,51,25,https://cpu.userbenchmark.com/SpeedTest/8256/IntelR-XeonR-CPU-E7--4870----240GHz
CPU,FJ8067702739932,Intel,Pentium 4415U,708,50.9,4426,https://cpu.userbenchmark.com/SpeedTest/267685/IntelR-PentiumR-CPU-4415U---230GHz
CPU,,Intel,Xeon E5462,709,50.8,539,https://cpu.userbenchmark.com/SpeedTest/16556/IntelR-XeonR-CPU-----------E5462----280GHz
CPU,,Intel,Core i5-4200U,710,50.8,51889,https://cpu.userbenchmark.com/Intel-Core-i5-4200U/Rating/2742
CPU,,Intel,Pentium 5405U,711,50.8,606,https://cpu.userbenchmark.com/SpeedTest/767922/IntelR-PentiumR-CPU-5405U---230GHz
CPU,AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),712,50.8,2998,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,,Intel,Core i3-7020U,713,50.7,18868,https://cpu.userbenchmark.com/SpeedTest/576199/IntelR-CoreTM-i3-7020U-CPU---230GHz
CPU,,AMD,A6-3670 APU,714,50.7,2010,https://cpu.userbenchmark.com/SpeedTest/4657/AMD-A6-3670-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon II X4 631,715,50.7,1115,https://cpu.userbenchmark.com/SpeedTest/2944/AMD-Athlontm-II-X4-631-Quad-Core-Processor
CPU,,Intel,Core i5-5250U,716,50.6,3601,https://cpu.userbenchmark.com/SpeedTest/24945/IntelR-CoreTM-i5-5250U-CPU---160GHz
CPU,,Intel,Xeon W3505,717,50.6,585,https://cpu.userbenchmark.com/SpeedTest/12714/IntelR-XeonR-CPU-----------W3505----253GHz
CPU,,AMD,A8-7500 APU (2014 M.Ka),718,50.6,215,https://cpu.userbenchmark.com/SpeedTest/60388/AMD-A8-7500-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Core2 Extreme Q6850,719,50.6,954,https://cpu.userbenchmark.com/SpeedTest/7118/IntelR-CoreTM2-Extreme-CPU-Q6850----300GHz
CPU,,Intel,Core i5-3437U,720,50.5,2585,https://cpu.userbenchmark.com/SpeedTest/4219/IntelR-CoreTM-i5-3437U-CPU---190GHz
CPU,,Intel,Core2 Quad Q9500,721,50.5,3389,https://cpu.userbenchmark.com/SpeedTest/1778/IntelR-CoreTM2-Quad-CPU----Q9500----283GHz
CPU,AD845XACKASBX,AMD,Athlon X4 845,722,50.4,5388,https://cpu.userbenchmark.com/SpeedTest/84491/AMD-Athlontm-X4-845-Quad-Core-Processor
CPU,,Intel,Core i5 K 655,723,50.4,315,https://cpu.userbenchmark.com/SpeedTest/9077/IntelR-CoreTM-i5-CPU-------K-655----320GHz
CPU,,AMD,Athlon II X4 635,724,50.4,4009,https://cpu.userbenchmark.com/SpeedTest/3369/AMD-Athlontm-II-X4-635-Processor
CPU,,AMD,Phenom 9950,725,50.3,1795,https://cpu.userbenchmark.com/SpeedTest/2758/AMD-Phenomtm-9950-Quad-Core-Processor
CPU,,AMD,Athlon II X4 640,726,50.3,14277,https://cpu.userbenchmark.com/SpeedTest/225/AMD-Athlontm-II-X4-640-Processor
CPU,,Intel,Core i3-2370M,727,50.3,7910,https://cpu.userbenchmark.com/SpeedTest/1959/IntelR-CoreTM-i3-2370M-CPU---240GHz
CPU,,Intel,Xeon E5-2603 0,728,50.2,186,https://cpu.userbenchmark.com/SpeedTest/4629/IntelR-XeonR-CPU-E5-2603-0---180GHz
CPU,,Intel,Xeon L5420,729,50.1,1020,https://cpu.userbenchmark.com/SpeedTest/10433/IntelR-XeonR-CPU-----------L5420----250GHz
CPU,,AMD,A10-7700K APU (2014 D.Ka),730,50.1,8718,https://cpu.userbenchmark.com/SpeedTest/9888/AMD-A10-7700K-APU-with-RadeonTM-R7-Graphics
CPU,,Intel,Pentium 3550M,731,50.1,519,https://cpu.userbenchmark.com/SpeedTest/9225/IntelR-PentiumR-CPU-3550M---230GHz
CPU,,AMD,Athlon II X3 460,732,50.1,933,https://cpu.userbenchmark.com/SpeedTest/6695/AMD-Athlontm-II-X3-460-Processor
